id,activity_name,domain,difficulty,goal,skills_targeted,materials,time_required_minutes,step_instructions,age_range,sensory_suitability,autism_level_suitability,environment_fit,cost_level,learning_style_fit
879,Letter Hunt (Writing) - Practice copying from #51,Writing,Moderate,Practice copying from a model,"copying skills, letter formation","coins, small toys, tape on floor, blocks",25,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Neutral,Level 2 (moderate support),Quiet environment,Low cost,Visual
880,Animal Walks (Gross Motor) - Improve jumping and #2,Gross Motor,Easy,Improve jumping and landing control,"coordination, endurance","rice or beans in a container, string",25,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Mixed,Level 3 (high support),Group setting possible,Low cost,Auditory
881,Shape Practice (Writing) - Build sentence writing #29,Writing,Easy,Build sentence writing using prompts,"visual-motor integration, letter formation","soft toys, buttons, rice or beans in a container, picture cards",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Neutral,Level 2 (moderate support),Quiet environment,Low cost,Visual
882,Sentence Starters (Writing) - Practice copying from #66,Writing,Easy,Practice copying from a model,"copying skills, spacing","clothespins, coins, notebook",25,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",4-6,Neutral,Level 2 (moderate support),Quiet environment,No cost,Visual
883,Dance Freeze (Gross Motor) - Encourage wholebody movement #18,Gross Motor,Moderate,Encourage whole-body movement,"balance, core strength","glue, string",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",3-4,Neutral,Level 1 (mild support),Group setting possible,Medium cost,Auditory
884,Emotion Words (Speech) - Develop sentencebuilding skills #32,Speech,Easy,Develop sentence-building skills,"vocabulary, speech production","stickers, tape on floor",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",3-4,Mixed,Level 1 (mild support),Outdoor friendly,Low cost,Mixed
885,Texture Bin (Sensory) - Support body awareness #127,Sensory,Moderate,Support body awareness,"transitioning, body awareness","spoon, markers",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",6-8,Sensory-seeking,Level 1 (mild support),Quiet environment,No cost,Visual
886,Emotion Words (Speech) - Improve receptive language #152,Speech,Moderate,Improve receptive language following directions,"question answering, listening","blocks, spoon, picture cards",10,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Mixed,Level 1 (mild support),Outdoor friendly,No cost,Auditory
887,Picture Labeling (Writing) - Support idea organization #30,Writing,Easy,Support idea organization in writing,"fine motor precision, letter formation","blocks, small toys",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",4-6,Neutral,Level 2 (moderate support),Quiet environment,No cost,Mixed
888,Sticker Pick-Up (Fine Motor) - Develop pincer grasp #219,Fine Motor,Moderate,Develop pincer grasp,"hand-eye coordination, tool use","blocks, safe scissors, stickers, spoon",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",4-6,Neutral,Level 1 (mild support),Low materials / small space,No cost,Mixed
889,Playdough Press (Fine Motor) - Practice bilateral coordination #136,Fine Motor,Easy,Practice bilateral coordination,"finger isolation, tool use","pom-poms, markers, rubber bands",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Neutral,Level 1 (mild support),Outdoor friendly,No cost,Kinesthetic
890,Movement Break (Sensory) - Provide calming sensory #207,Sensory,Moderate,Provide calming sensory input,"body awareness, self-regulation","picture cards, ball, playdough",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",3-4,Sensory-seeking,Level 1 (mild support),Low materials / small space,Low cost,Kinesthetic
891,Ball Toss (Gross Motor) - Increase core strength #25,Gross Motor,Moderate,Increase core strength,"motor planning, balance","string, small toys",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Neutral,Level 1 (mild support),Outdoor friendly,No cost,Mixed
892,Animal Walks (Gross Motor) - Improve balance and #112,Gross Motor,Easy,Improve balance and coordination,"coordination, motor planning","soft toys, rubber bands",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Neutral,Level 2 (moderate support),Outdoor friendly,No cost,Kinesthetic
893,Shape Practice (Writing) - Build sentence writing #162,Writing,Moderate,Build sentence writing using prompts,"copying skills, letter formation","safe scissors, crayons, buttons, tape on floor",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",4-6,Neutral,Level 1 (mild support),Group setting possible,Low cost,Visual
894,Heavy Work (Sensory) - Reduce restlessness using #50,Sensory,Easy,Reduce restlessness using movement breaks,"body awareness, proprioception","pillow, markers",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",10-12,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,Low cost,Mixed
895,Turn-Taking Game (Speech) - Practice labeling emotions #14,Speech,Easy,Practice labeling emotions with words,"vocabulary, social communication","glue, playdough",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Mixed,Level 2 (moderate support),Outdoor friendly,No cost,Mixed
896,Deep Pressure Routine (Sensory) - Offer safe sensory #78,Sensory,Moderate,Offer safe sensory exploration,"body awareness, transitioning","crayons, blocks",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Mixed,Level 3 (high support),Low materials / small space,No cost,Auditory
897,Sound Imitation (Speech) - Practice answering WHquestions #44,Speech,Moderate,Practice answering WH-questions,"social communication, question answering","pillow, soft toys, pom-poms",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Mixed,Level 3 (high support),Low materials / small space,No cost,Mixed
898,Texture Bin (Sensory) - Offer safe sensory #49,Sensory,Moderate,Offer safe sensory exploration,"transitioning, proprioception","glue, stickers, small toys, rice or beans in a container",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Sensory-avoidant,Level 1 (mild support),Quiet environment,Low cost,Mixed
899,Dance Freeze (Gross Motor) - Build stamina with #235,Gross Motor,Easy,Build stamina with short routines,"endurance, motor planning","picture cards, blocks",25,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Sensory-seeking,Level 3 (high support),Group setting possible,Low cost,Mixed
900,Shape Practice (Writing) - Build sentence writing #61,Writing,Easy,Build sentence writing using prompts,"visual-motor integration, spacing","small toys, paper",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Neutral,Level 2 (moderate support),Group setting possible,Low cost,Kinesthetic
901,Breathing Game (Sensory) - Support body awareness #21,Sensory,Challenging,Support body awareness,"tactile tolerance, self-regulation","spoon, ball",25,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",10-12,Sensory-avoidant,Level 2 (moderate support),Quiet environment,Low cost,Visual
902,Follow Directions (Speech) - Encourage turntaking in #93,Speech,Moderate,Encourage turn-taking in conversation,"social communication, question answering","rubber bands, flashcards",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Neutral,Level 1 (mild support),Quiet environment,No cost,Auditory
903,Dance Freeze (Gross Motor) - Encourage wholebody movement #62,Gross Motor,Easy,Encourage whole-body movement,"motor planning, endurance","rubber bands, string, ball, pillow",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",3-4,Neutral,Level 1 (mild support),Low materials / small space,Low cost,Mixed
904,Clothespin Squeeze (Fine Motor) - Develop pincer grasp #43,Fine Motor,Easy,Develop pincer grasp,"grip strength, hand-eye coordination","pencil, paper, buttons, markers",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",4-6,Sensory-avoidant,Level 1 (mild support),Low materials / small space,No cost,Mixed
905,Sticker Pick-Up (Fine Motor) - Improve finger strength #169,Fine Motor,Moderate,Improve finger strength and control,"grip strength, dexterity","flashcards, soft toys, clothespins, buttons",25,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Mixed,Level 1 (mild support),Low materials / small space,No cost,Mixed
906,Cup Stacking (Fine Motor) - Increase handeye coordination #221,Fine Motor,Challenging,Increase hand-eye coordination,"tool use, finger isolation","markers, blocks",25,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Sensory-avoidant,Level 1 (mild support),Outdoor friendly,Low cost,Auditory
907,Turn-Taking Game (Speech) - Build social greeting #103,Speech,Moderate,Build social greeting skills,"vocabulary, question answering","blocks, plastic cups, crayons, buttons",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Sensory-avoidant,Level 3 (high support),Low materials / small space,No cost,Auditory
908,Letter Hunt (Writing) - Support idea organization #150,Writing,Moderate,Support idea organization in writing,"fine motor precision, copying skills","ball, flashcards",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",4-6,Sensory-avoidant,Level 2 (moderate support),Group setting possible,No cost,Auditory
909,Picture Labeling (Writing) - Build sentence writing #177,Writing,Easy,Build sentence writing using prompts,"letter formation, copying skills","crayons, safe scissors, glue",25,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Neutral,Level 2 (moderate support),Group setting possible,Medium cost,Visual
910,Trace & Copy (Writing) - Develop letter formation #40,Writing,Challenging,Develop letter formation,"sentence building, fine motor precision","glue, playdough, ball",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Neutral,Level 2 (moderate support),Group setting possible,Low cost,Kinesthetic
911,Obstacle Course (Gross Motor) - Develop motor planning #92,Gross Motor,Easy,Develop motor planning,"coordination, balance","pillow, rice or beans in a container, small toys, crayons",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Sensory-seeking,Level 1 (mild support),Low materials / small space,Low cost,Auditory
912,Balance Line (Gross Motor) - Increase core strength #35,Gross Motor,Moderate,Increase core strength,"core strength, coordination","glue, buttons, notebook, tape on floor",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Mixed,Level 2 (moderate support),Low materials / small space,No cost,Auditory
913,Ball Toss (Gross Motor) - Develop motor planning #106,Gross Motor,Challenging,Develop motor planning,"core strength, coordination","rubber bands, glue, blocks, spoon",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Sensory-seeking,Level 1 (mild support),Low materials / small space,No cost,Auditory
914,Shape Practice (Writing) - Improve handwriting fluency #123,Writing,Moderate,Improve handwriting fluency,"copying skills, spacing","rubber bands, tape on floor, pencil, pillow",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Neutral,Level 3 (high support),Low materials / small space,No cost,Visual
915,Letter Hunt (Writing) - Improve handwriting fluency #118,Writing,Moderate,Improve handwriting fluency,"sentence building, spacing","paper, small toys, blocks",30,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Neutral,Level 2 (moderate support),Quiet environment,No cost,Mixed
916,Follow Directions (Speech) - Improve expressive vocabulary #40,Speech,Easy,Improve expressive vocabulary,"turn-taking, vocabulary","markers, rubber bands, buttons, crayons",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Neutral,Level 2 (moderate support),Outdoor friendly,No cost,Mixed
917,Emotion Words (Speech) - Support sound articulation #126,Speech,Easy,Support sound articulation,"turn-taking, social communication","rice or beans in a container, string, rubber bands, ball",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Mixed,Level 1 (mild support),Quiet environment,No cost,Visual
918,Movement Break (Sensory) - Improve tolerance to #47,Sensory,Easy,Improve tolerance to textures,"body awareness, tactile tolerance","soft toys, notebook, small toys, glue",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",6-8,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,No cost,Visual
919,Jump & Stop (Gross Motor) - Improve leftright awareness #83,Gross Motor,Moderate,Improve left-right awareness,"core strength, endurance","glue, paper, spoon, plastic cups",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",3-4,Neutral,Level 3 (high support),Low materials / small space,No cost,Kinesthetic
920,Dance Freeze (Gross Motor) - Improve leftright awareness #97,Gross Motor,Moderate,Improve left-right awareness,"motor planning, core strength","markers, clothespins, pom-poms, string",30,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Mixed,Level 1 (mild support),Group setting possible,Low cost,Mixed
921,Picture Naming (Speech) - Encourage turntaking in #122,Speech,Moderate,Encourage turn-taking in conversation,"social communication, vocabulary","playdough, blocks, ball, zipper pouch",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Mixed,Level 2 (moderate support),Low materials / small space,Low cost,Visual
922,Animal Walks (Gross Motor) - Encourage wholebody movement #68,Gross Motor,Easy,Encourage whole-body movement,"core strength, inhibition control","rubber bands, small toys, stickers, zipper pouch",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",3-4,Sensory-seeking,Level 2 (moderate support),Low materials / small space,Low cost,Visual
923,Guided Journal (Writing) - Improve spacing and #10,Writing,Moderate,Improve spacing and line awareness,"visual-motor integration, letter formation","playdough, buttons",30,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Sensory-avoidant,Level 3 (high support),Low materials / small space,Low cost,Visual
924,Movement Break (Sensory) - Offer safe sensory #89,Sensory,Moderate,Offer safe sensory exploration,"self-regulation, tactile tolerance","notebook, flashcards, stickers",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Mixed,Level 2 (moderate support),Low materials / small space,No cost,Mixed
925,Follow Directions (Speech) - Build social greeting #46,Speech,Easy,Build social greeting skills,"listening, social communication","safe scissors, tape on floor",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",8-10,Mixed,Level 2 (moderate support),Low materials / small space,No cost,Mixed
926,Sound Imitation (Speech) - Improve expressive vocabulary #114,Speech,Moderate,Improve expressive vocabulary,"speech production, listening","notebook, coins, glue",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",3-4,Neutral,Level 2 (moderate support),Group setting possible,No cost,Visual
927,Guided Journal (Writing) - Develop letter formation #209,Writing,Challenging,Develop letter formation,"visual-motor integration, spacing","pom-poms, pencil, soft toys, glue",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Sensory-avoidant,Level 3 (high support),Outdoor friendly,No cost,Kinesthetic
928,Threading (Fine Motor) - Improve scissor skills #205,Fine Motor,Easy,Improve scissor skills with safe cutting,"hand-eye coordination, finger isolation","pencil, ball, spoon",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",3-4,Mixed,Level 3 (high support),Outdoor friendly,Medium cost,Kinesthetic
929,Playdough Press (Fine Motor) - Improve finger strength #233,Fine Motor,Easy,Improve finger strength and control,"hand-eye coordination, finger isolation","coins, glue, playdough",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Mixed,Level 1 (mild support),Quiet environment,Medium cost,Mixed
930,Balance Line (Gross Motor) - Increase core strength #240,Gross Motor,Easy,Increase core strength,"balance, inhibition control","crayons, rice or beans in a container",25,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Neutral,Level 1 (mild support),Outdoor friendly,Medium cost,Kinesthetic
931,Ball Toss (Gross Motor) - Improve balance and #110,Gross Motor,Moderate,Improve balance and coordination,"core strength, balance","flashcards, paper, ball, soft toys",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Mixed,Level 3 (high support),Outdoor friendly,Medium cost,Kinesthetic
932,Jump & Stop (Gross Motor) - Encourage wholebody movement #137,Gross Motor,Moderate,Encourage whole-body movement,"motor planning, endurance","markers, flashcards, paper, glue",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Mixed,Level 2 (moderate support),Outdoor friendly,Low cost,Auditory
933,Turn-Taking Game (Speech) - Encourage turntaking in #141,Speech,Moderate,Encourage turn-taking in conversation,"listening, speech production","blocks, tape on floor",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Neutral,Level 1 (mild support),Outdoor friendly,No cost,Kinesthetic
934,Follow Directions (Speech) - Improve expressive vocabulary #109,Speech,Easy,Improve expressive vocabulary,"turn-taking, speech production","stickers, glue, zipper pouch",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Sensory-avoidant,Level 2 (moderate support),Outdoor friendly,No cost,Kinesthetic
935,Ball Toss (Gross Motor) - Improve jumping and #142,Gross Motor,Easy,Improve jumping and landing control,"inhibition control, core strength","stickers, coins",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Sensory-seeking,Level 1 (mild support),Low materials / small space,No cost,Mixed
936,Texture Bin (Sensory) - Help with selfregulation #12,Sensory,Challenging,Help with self-regulation,"tactile tolerance, body awareness","picture cards, clothespins",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",6-8,Sensory-seeking,Level 1 (mild support),Low materials / small space,No cost,Visual
937,Threading (Fine Motor) - Practice bilateral coordination #18,Fine Motor,Moderate,Practice bilateral coordination,"hand-eye coordination, grip strength","tape on floor, string, safe scissors, rice or beans in a container",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",3-4,Sensory-avoidant,Level 1 (mild support),Low materials / small space,Low cost,Mixed
938,Guided Journal (Writing) - Develop letter formation #167,Writing,Challenging,Develop letter formation,"spacing, fine motor precision","glue, zipper pouch",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Sensory-avoidant,Level 1 (mild support),Outdoor friendly,Medium cost,Visual
939,Turn-Taking Game (Speech) - Practice labeling emotions #177,Speech,Challenging,Practice labeling emotions with words,"speech production, turn-taking","markers, small toys, pom-poms",30,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Mixed,Level 1 (mild support),Group setting possible,Low cost,Mixed
940,Ball Toss (Gross Motor) - Practice stopping and #144,Gross Motor,Easy,Practice stopping and starting on cue,"motor planning, core strength","spoon, safe scissors, ball, playdough",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Mixed,Level 1 (mild support),Group setting possible,No cost,Auditory
941,Sticker Pick-Up (Fine Motor) - Improve buttoning and #196,Fine Motor,Challenging,Improve buttoning and zipping practice,"hand-eye coordination, finger isolation","pillow, safe scissors, buttons, paper",25,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",3-4,Mixed,Level 3 (high support),Quiet environment,No cost,Kinesthetic
942,Clothespin Squeeze (Fine Motor) - Improve scissor skills #52,Fine Motor,Moderate,Improve scissor skills with safe cutting,"finger isolation, bilateral coordination","small toys, ball, buttons, clothespins",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Neutral,Level 3 (high support),Outdoor friendly,No cost,Visual
943,Threading (Fine Motor) - Increase handeye coordination #141,Fine Motor,Moderate,Increase hand-eye coordination,"bilateral coordination, hand-eye coordination","pillow, pencil, rice or beans in a container, coins",25,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",3-4,Sensory-avoidant,Level 1 (mild support),Quiet environment,Low cost,Visual
944,Playdough Press (Fine Motor) - Improve writing readiness #117,Fine Motor,Easy,Improve writing readiness,"hand-eye coordination, dexterity","rubber bands, plastic cups, pencil, tape on floor",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",4-6,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,No cost,Visual
945,Dance Freeze (Gross Motor) - Improve balance and #78,Gross Motor,Moderate,Improve balance and coordination,"core strength, endurance","stickers, playdough, ball",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",3-4,Mixed,Level 2 (moderate support),Outdoor friendly,Low cost,Visual
946,Calm Corner (Sensory) - Support body awareness #214,Sensory,Easy,Support body awareness,"self-regulation, body awareness","string, soft toys, safe scissors, pencil",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",10-12,Sensory-avoidant,Level 1 (mild support),Quiet environment,Medium cost,Visual
